survey_ID,sample,selfvoucher,friendvoucher,condition,num_condition,selftimesused,friendtimesused,yard_sign_request,ResponseId,SE_plant,RE_env_plant,RE_social_plant,in_sanctioning_plant,dyn_plant,SE_encourage,IN_praise_plant,RE_social_encourage,RE_env_encourage,in_encourage,competent_encourage
1000,2,3-709-0,3-709-1,efficacy,3,0,0,,,,,,,,,,,,,
1001,2,3-612-0,3-612-1,efficacy,3,1,1,,1001,2,6,5,3,5,6,5,4,5,2,3
1002,2,3-489-0,3-489-1,efficacy,3,0,0,,,,,,,,,,,,,
1003,2,4-676-0,4-676-1,combined,4,0,0,,1003,2,7,5,2,4,5,4,7,7,1,4
1004,2,4-507-0,4-507-1,combined,4,0,0,,,,,,,,,,,,,
1005,2,3-578-0,3-578-1,efficacy,3,0,0,,,,,,,,,,,,,
1006,2,1-671-0,1-671-1,control,1,0,0,,,,,,,,,,,,,
1007,2,3-486-0,3-486-1,efficacy,3,0,0,,,,,,,,,,,,,
1008,2,1-554-0,1-554-1,control,1,0,0,,,,,,,,,,,,,
1009,2,2-712-0,2-712-1,norm,2,0,0,,,,,,,,,,,,,
1010,2,4-637-0,4-637-1,combined,4,0,0,,,,,,,,,,,,,
1011,2,2-669-0,2-669-1,norm,2,0,0,,,,,,,,,,,,,
1012,2,2-676-0,2-676-1,norm,2,0,0,,,,,,,,,,,,,
1013,2,4-727-0,4-727-1,combined,4,0,0,,,,,,,,,,,,,
1014,2,1-535-0,1-535-1,control,1,0,0,,,,,,,,,,,,,
1015,2,3-719-0,3-719-1,efficacy,3,0,0,,,,,,,,,,,,,
1016,2,3-522-0,3-522-1,efficacy,3,0,0,,,,,,,,,,,,,
1017,2,3-604-0,3-604-1,efficacy,3,0,0,,,,,,,,,,,,,
1018,2,4-668-0,4-668-1,combined,4,0,0,,,,,,,,,,,,,
1019,2,4-481-0,4-481-1,combined,4,0,1,,1019,5,7,6,2,4,2,6,7,6,2,5
1020,2,2-607-0,2-607-1,norm,2,0,0,,,,,,,,,,,,,
1021,2,1-663-0,1-663-1,control,1,0,0,,1021,5,4,4,4,4,4,4,4,4,4,3
1022,2,3-710-0,3-710-1,efficacy,3,0,0,,,,,,,,,,,,,
1023,2,1-559-0,1-559-1,control,1,0,0,,,,,,,,,,,,,
1024,2,1-616-0,1-616-1,control,1,0,0,,,,,,,,,,,,,
1025,2,4-577-0,4-577-1,combined,4,0,0,,,,,,,,,,,,,
1026,2,3-560-0,3-560-1,efficacy,3,0,0,,,,,,,,,,,,,
1027,2,4-694-0,4-694-1,combined,4,0,0,,,,,,,,,,,,,
1028,2,1-552-0,1-552-1,control,1,0,0,,,,,,,,,,,,,
1029,2,2-627-0,2-627-1,norm,2,0,0,,,,,,,,,,,,,
1030,2,4-585-0,4-585-1,combined,4,0,0,,1030,5,6,5,1,6,4,5,6,4,2,3
1031,2,4-558-0,4-558-1,combined,4,0,0,,,,,,,,,,,,,
1032,2,1-640-0,1-640-1,control,1,0,0,,,,,,,,,,,,,
1033,2,3-621-0,3-621-1,efficacy,3,0,0,,,,,,,,,,,,,
1034,2,1-493-0,1-493-1,control,1,0,0,,,,,,,,,,,,,
1035,2,3-717-0,3-717-1,efficacy,3,0,0,,,,,,,,,,,,,
1036,2,4-665-0,4-665-1,combined,4,0,0,,1036,3,7,6,2,5,2,5,6,7,1,5
1037,2,2-570-0,2-570-1,norm,2,0,0,,,,,,,,,,,,,
1038,2,2-709-0,2-709-1,norm,2,0,0,,,,,,,,,,,,,
1039,2,2-671-0,2-671-1,norm,2,0,0,,1039,2,7,5,1,6,,6,,,,
1040,2,4-501-0,4-501-1,combined,4,0,0,,1040,5,7,5,7,4,2,1,7,6,4,3
1041,2,3-596-0,3-596-1,efficacy,3,0,0,,,,,,,,,,,,,
1042,2,3-537-0,3-537-1,efficacy,3,0,0,,1042,6,7,6,1,6,3,6,6,7,2,
1043,2,4-496-0,4-496-1,combined,4,0,0,,,,,,,,,,,,,
1044,2,3-633-0,3-633-1,efficacy,3,0,0,,,,,,,,,,,,,
1045,2,2-591-0,2-591-1,norm,2,1,0,,1045,6,6,3,4,4,5,4,5,5,4,3
1046,2,3-667-0,3-667-1,efficacy,3,1,1,,1046,5,5,5,5,5,5,6,4,5,3,3
1047,2,1-584-0,1-584-1,control,1,0,0,,,,,,,,,,,,,
1048,2,4-555-0,4-555-1,combined,4,0,0,,1048,4,4,4,4,3,4,4,4,5,3,3
1049,2,1-527-0,1-527-1,control,1,0,0,,1049,1,6,4,4,4,7,4,5,1,1,5
1050,2,4-621-0,4-621-1,combined,4,0,0,,,,,,,,,,,,,
1051,2,4-486-0,4-486-1,combined,4,0,0,,,,,,,,,,,,,
1052,2,3-725-0,3-725-1,efficacy,3,1,1,,1052,5,6,3,2,6,5,5,3,6,3,1
1053,2,1-572-0,1-572-1,control,1,0,0,,1053,6,2,2,6,5,4,2,4,5,5,4
1054,2,2-703-0,2-703-1,norm,2,0,0,,1054,6,6,2,1,4,6,2,4,4,2,3
1055,2,4-678-0,4-678-1,combined,4,0,0,,,,,,,,,,,,,
1056,2,2-513-0,2-513-1,norm,2,0,0,,,,,,,,,,,,,
1057,2,3-515-0,3-515-1,efficacy,3,0,0,,,,,,,,,,,,,
1058,2,1-595-0,1-595-1,control,1,0,0,,,,,,,,,,,,,
1059,2,4-710-0,4-710-1,combined,4,0,0,,,,,,,,,,,,,
1060,2,4-540-0,4-540-1,combined,4,0,0,,1060,4,4,6,4,4,4,4,4,4,4,3
1061,2,3-557-0,3-557-1,efficacy,3,0,0,,,,,,,,,,,,,
1062,2,1-717-0,1-717-1,control,1,0,0,,,,,,,,,,,,,
1063,2,3-707-0,3-707-1,efficacy,3,0,0,,,,,,,,,,,,,
1064,2,1-560-0,1-560-1,control,1,0,0,,,,,,,,,,,,,
1065,2,4-483-0,4-483-1,combined,4,0,0,,,,,,,,,,,,,
1066,2,4-531-0,4-531-1,combined,4,0,0,,,,,,,,,,,,,
1067,2,1-543-0,1-543-1,control,1,1,0,,1067,6,7,6,4,4,5,5,5,5,3,3
1068,2,2-632-0,2-632-1,norm,2,1,0,,1068,6,7,4,4,5,4,5,5,5,2,4
1069,2,3-497-0,3-497-1,efficacy,3,0,0,,,,,,,,,,,,,
1070,2,2-575-0,2-575-1,norm,2,0,0,,,,,,,,,,,,,
1071,2,3-539-0,3-539-1,efficacy,3,0,0,,,,,,,,,,,,,
1072,2,1-689-0,1-689-1,control,1,0,0,,,,,,,,,,,,,
1073,2,4-510-0,4-510-1,combined,4,0,0,,,,,,,,,,,,,
1074,2,3-589-0,3-589-1,efficacy,3,0,0,,,,,,,,,,,,,
1075,2,4-589-0,4-589-1,combined,4,0,0,,1075,2,6,4,2,6,6,6,4,6,2,3
1076,2,2-526-0,2-526-1,norm,2,0,0,,,,,,,,,,,,,
1077,2,4-703-0,4-703-1,combined,4,0,0,,,,,,,,,,,,,
1078,2,4-548-0,4-548-1,combined,4,0,0,,1078,3,7,5,1,4,7,6,5,6,2,3
1079,2,1-618-0,1-618-1,control,1,0,0,,1079,6,6,5,2,4,3,5,4,6,4,4
1080,2,2-658-0,2-658-1,norm,2,0,0,2-658-0,,,,,,,,,,,,
1081,2,3-540-0,3-540-1,efficacy,3,1,0,,1081,3,6,5,5,5,5,5,5,4,3,2
1082,2,3-510-0,3-510-1,efficacy,3,0,0,,,,,,,,,,,,,
1083,2,2-528-0,2-528-1,norm,2,0,0,,,,,,,,,,,,,
1084,2,4-679-0,4-679-1,combined,4,0,0,,,,,,,,,,,,,
1085,2,1-491-0,1-491-1,control,1,0,0,,,,,,,,,,,,,
1086,2,3-723-0,3-723-1,efficacy,3,0,0,,,,,,,,,,,,,
1087,2,4-647-0,4-647-1,combined,4,0,0,,1087,5,6,3,6,3,5,1,3,5,5,5
1088,2,2-692-0,2-692-1,norm,2,0,0,,,,,,,,,,,,,
1089,2,1-598-0,1-598-1,control,1,0,0,,,,,,,,,,,,,
1090,2,4-494-0,4-494-1,combined,4,0,0,,,,,,,,,,,,,
1091,2,3-714-0,3-714-1,efficacy,3,1,0,,,,,,,,,,,,,
1092,2,4-601-0,4-601-1,combined,4,0,0,,,,,,,,,,,,,
1093,2,4-639-0,4-639-1,combined,4,0,0,,,,,,,,,,,,,
1094,2,3-695-0,3-695-1,efficacy,3,0,0,,1094,5,7,5,6,5,5,3,6,6,4,4
1095,2,1-500-0,1-500-1,control,1,0,0,,,,,,,,,,,,,
1096,2,3-582-0,3-582-1,efficacy,3,0,0,,,,,,,,,,,,,
1097,2,1-674-0,1-674-1,control,1,0,0,,,,,,,,,,,,,
1098,2,1-690-0,1-690-1,control,1,0,0,,,,,,,,,,,,,
1099,2,3-577-0,3-577-1,efficacy,3,0,0,,,,,,,,,,,,,
1100,2,1-644-0,1-644-1,control,1,0,0,,,,,,,,,,,,,
1101,2,1-653-0,1-653-1,control,1,0,0,,,,,,,,,,,,,
1102,2,2-614-0,2-614-1,norm,2,0,0,,,,,,,,,,,,,
1103,2,2-541-0,2-541-1,norm,2,0,0,,,,,,,,,,,,,
1104,2,3-587-0,3-587-1,efficacy,3,0,0,,1104,1,6,4,2,5,6,2,5,4,4,3
1105,2,1-574-0,1-574-1,control,1,0,0,,,,,,,,,,,,,
1106,2,4-575-0,4-575-1,combined,4,0,0,,,,,,,,,,,,,
1107,2,4-541-0,4-541-1,combined,4,0,0,,,,,,,,,,,,,
1108,2,1-514-0,1-514-1,control,1,0,0,,,,,,,,,,,,,
1109,2,2-576-0,2-576-1,norm,2,0,0,,,,,,,,,,,,,
1110,2,4-499-0,4-499-1,combined,4,0,0,,,,,,,,,,,,,
1111,2,2-536-0,2-536-1,norm,2,0,0,,,,,,,,,,,,,
1112,2,3-657-0,3-657-1,efficacy,3,0,0,,,,,,,,,,,,,
1113,2,2-545-0,2-545-1,norm,2,0,0,,,,,,,,,,,,,
1114,2,3-506-0,3-506-1,efficacy,3,0,0,,,,,,,,,,,,,
1115,2,1-629-0,1-629-1,control,1,0,0,,,,,,,,,,,,,
1116,2,2-598-0,2-598-1,norm,2,0,0,,1116,6,6,4,2,4,3,4,4,4,2,3
1117,2,3-507-0,3-507-1,efficacy,3,0,0,,,,,,,,,,,,,
1118,2,2-628-0,2-628-1,norm,2,0,0,,,,,,,,,,,,,
1119,2,3-652-0,3-652-1,efficacy,3,0,0,,,,,,,,,,,,,
1120,2,4-672-0,4-672-1,combined,4,0,0,,,,,,,,,,,,,
1121,2,3-513-0,3-513-1,efficacy,3,0,0,,,,,,,,,,,,,
1122,2,1-661-0,1-661-1,control,1,0,0,,,,,,,,,,,,,
1123,2,2-519-0,2-519-1,norm,2,0,0,,,,,,,,,,,,,
1124,2,2-649-0,2-649-1,norm,2,0,0,,,,,,,,,,,,,
1125,2,3-520-0,3-520-1,efficacy,3,0,0,,1125,2,7,4,7,3,7,1,4,4,4,2
1126,2,3-718-0,3-718-1,efficacy,3,1,1,,1126,6,7,3,4,5,3,4,4,6,4,3
1127,2,2-611-0,2-611-1,norm,2,0,0,,,,,,,,,,,,,
1128,2,4-625-0,4-625-1,combined,4,0,0,,,,,,,,,,,,,
