survey_ID,sample,selfvoucher,friendvoucher,condition,num_condition,selftimesused,friendtimesused,yard_sign_request,ResponseId,SE_plant,RE_env_plant,RE_social_plant,in_sanctioning_plant,dyn_plant,SE_encourage,IN_praise_plant,RE_social_encourage,RE_env_encourage,in_encourage,competent_encourage
1129,2,2-661-0,2-661-1,norm,2,0,0,,1129,5,7,6,4,5,3,5,4,4,2,4
1130,2,1-556-0,1-556-1,control,1,0,0,,,,,,,,,,,,,
1131,2,1-642-0,1-642-1,control,1,0,0,,,,,,,,,,,,,
1132,2,1-594-0,1-594-1,control,1,0,0,,,,,,,,,,,,,
1133,2,3-708-0,3-708-1,efficacy,3,0,0,,,,,,,,,,,,,
1134,2,2-537-0,2-537-1,norm,2,0,0,,,,,,,,,,,,,
1135,2,1-540-0,1-540-1,control,1,0,0,,,,,,,,,,,,,
1136,2,1-575-0,1-575-1,control,1,0,0,,,,,,,,,,,,,
1137,2,3-726-0,3-726-1,efficacy,3,0,0,,1137,5,6,2,4,4,6,4,5,6,2,4
1138,2,3-623-0,3-623-1,efficacy,3,0,0,,,,,,,,,,,,,
1139,2,2-520-0,2-520-1,norm,2,0,0,,,,,,,,,,,,,
1140,2,2-592-0,2-592-1,norm,2,0,0,,,,,,,,,,,,,
1141,2,3-615-0,3-615-1,efficacy,3,0,0,,,,,,,,,,,,,
1142,2,1-683-0,1-683-1,control,1,0,0,,,,,,,,,,,,,
1143,2,3-509-0,3-509-1,efficacy,3,0,0,,1143,3,7,5,3,6,5,3,4,6,3,4
1144,2,1-523-0,1-523-1,control,1,0,0,,,,,,,,,,,,,
1145,2,3-495-0,3-495-1,efficacy,3,0,0,,1145,2,4,1,1,2,2,4,4,4,2,3
1146,2,3-505-0,3-505-1,efficacy,3,0,0,,,,,,,,,,,,,
1147,2,1-658-0,1-658-1,control,1,0,0,,,,,,,,,,,,,
1148,2,3-574-0,3-574-1,efficacy,3,0,0,,1148,7,7,6,2,7,1,7,6,4,1,5
1149,2,2-538-0,2-538-1,norm,2,0,0,,1149,7,6,2,5,,5,2,5,2,2,
1150,2,2-546-0,2-546-1,norm,2,0,0,,,,,,,,,,,,,
1151,2,4-545-0,4-545-1,combined,4,0,0,,,,,,,,,,,,,
1152,2,4-559-0,4-559-1,combined,4,0,0,,,,,,,,,,,,,
1153,2,1-610-0,1-610-1,control,1,0,0,,,,,,,,,,,,,
1154,2,2-552-0,2-552-1,norm,2,0,0,,1154,5,6,4,2,5,5,4,5,5,4,3
1155,2,2-542-0,2-542-1,norm,2,0,0,,,,,,,,,,,,,
1156,2,2-584-0,2-584-1,norm,2,0,0,,,,,,,,,,,,,
1157,2,3-571-0,3-571-1,efficacy,3,0,0,,,,,,,,,,,,,
1158,2,4-609-0,4-609-1,combined,4,0,0,,,,,,,,,,,,,
1159,2,4-644-0,4-644-1,combined,4,0,0,,,,,,,,,,,,,
1160,2,1-693-0,1-693-1,control,1,0,0,,,,,,,,,,,,,
1161,2,3-527-0,3-527-1,efficacy,3,0,0,,,,,,,,,,,,,
1162,2,4-640-0,4-640-1,combined,4,0,0,,1162,6,7,6,7,4,6,3,6,7,6,5
1163,2,2-494-0,2-494-1,norm,2,0,0,,,,,,,,,,,,,
1164,2,4-537-0,4-537-1,combined,4,0,0,,1164,6,7,6,1,6,2,6,6,6,2,3
1165,2,3-511-0,3-511-1,efficacy,3,0,0,,1165,6,6,5,2,6,2,6,4,5,2,4
1166,2,3-563-0,3-563-1,efficacy,3,0,0,,,,,,,,,,,,,
1167,2,1-669-0,1-669-1,control,1,0,0,,,,,,,,,,,,,
1168,2,4-650-0,4-650-1,combined,4,1,1,4-650-0,1168,6,7,7,2,5,1,5,5,6,1,4
1169,2,3-613-0,3-613-1,efficacy,3,0,0,,,,,,,,,,,,,
1170,2,3-594-0,3-594-1,efficacy,3,0,0,,,,,,,,,,,,,
1171,2,2-667-0,2-667-1,norm,2,0,0,,,,,,,,,,,,,
1172,2,3-685-0,3-685-1,efficacy,3,0,0,,1172,1,7,7,5,4,5,5,5,7,2,4
1173,2,4-569-0,4-569-1,combined,4,0,0,,,,,,,,,,,,,
1174,2,4-663-0,4-663-1,combined,4,0,0,,,,,,,,,,,,,
1175,2,4-612-0,4-612-1,combined,4,0,0,,,,,,,,,,,,,
1176,2,2-644-0,2-644-1,norm,2,0,0,,1176,7,6,6,4,5,,2,,,,
1177,2,1-562-0,1-562-1,control,1,0,0,,1177,3,7,5,6,5,5,4,5,6,3,4
1178,2,4-564-0,4-564-1,combined,4,0,0,,1178,1,7,5,5,4,6,4,5,5,4,3
1179,2,2-602-0,2-602-1,norm,2,0,0,,,,,,,,,,,,,
1180,2,2-572-0,2-572-1,norm,2,0,0,,,,,,,,,,,,,
1181,2,2-720-0,2-720-1,norm,2,0,0,,,,,,,,,,,,,
1182,2,1-613-0,1-613-1,control,1,0,0,,,,,,,,,,,,,
1183,2,3-625-0,3-625-1,efficacy,3,0,0,,1183,6,6,4,4,4,6,4,5,4,2,4
1184,2,3-485-0,3-485-1,efficacy,3,0,0,,,,,,,,,,,,,
1185,2,3-654-0,3-654-1,efficacy,3,0,0,,1185,5,6,3,5,5,3,5,2,2,3,4
1186,2,4-504-0,4-504-1,combined,4,0,0,,,,,,,,,,,,,
1187,2,1-524-0,1-524-1,control,1,0,0,,1187,4,7,5,4,5,3,4,6,4,3,3
1188,2,2-707-0,2-707-1,norm,2,0,0,,,,,,,,,,,,,
1189,2,3-712-0,3-712-1,efficacy,3,0,0,,,,,,,,,,,,,
1190,2,2-500-0,2-500-1,norm,2,0,0,,,,,,,,,,,,,
1191,2,2-699-0,2-699-1,norm,2,0,0,,,,,,,,,,,,,
1192,2,4-657-0,4-657-1,combined,4,0,0,,,,,,,,,,,,,
1193,2,2-577-0,2-577-1,norm,2,0,0,,,,,,,,,,,,,
1194,2,2-652-0,2-652-1,norm,2,0,0,,,,,,,,,,,,,
1195,2,4-587-0,4-587-1,combined,4,0,0,,,,,,,,,,,,,
1196,2,1-630-0,1-630-1,control,1,0,0,,,,,,,,,,,,,
1197,2,1-655-0,1-655-1,control,1,0,0,,,,,,,,,,,,,
1198,2,4-683-0,4-683-1,combined,4,0,0,,,,,,,,,,,,,
1199,2,2-693-0,2-693-1,norm,2,0,0,,,,,,,,,,,,,
1200,2,1-478-0,1-478-1,control,1,0,0,,,,,,,,,,,,,
1201,2,1-502-0,1-502-1,control,1,0,0,,,,,,,,,,,,,
1202,2,1-621-0,1-621-1,control,1,0,0,,,,,,,,,,,,,
1203,2,3-688-0,3-688-1,efficacy,3,0,0,,,,,,,,,,,,,
1204,2,3-538-0,3-538-1,efficacy,3,0,0,,1204,2,6,4,4,5,4,4,5,5,3,3
1205,2,3-512-0,3-512-1,efficacy,3,0,0,,,,,,,,,,,,,
1206,2,2-599-0,2-599-1,norm,2,0,0,,,,,,,,,,,,,
1207,2,3-558-0,3-558-1,efficacy,3,0,0,,,,,,,,,,,,,
1208,2,3-713-0,3-713-1,efficacy,3,0,0,,1208,6,7,7,4,6,1,6,7,7,2,4
1209,2,4-626-0,4-626-1,combined,4,0,0,,,,,,,,,,,,,
1210,2,1-691-0,1-691-1,control,1,0,0,,,,,,,,,,,,,
1211,2,4-581-0,4-581-1,combined,4,0,0,,,,,,,,,,,,,
1212,2,4-542-0,4-542-1,combined,4,0,0,,,,,,,,,,,,,
1213,2,4-536-0,4-536-1,combined,4,0,0,,,,,,,,,,,,,
1214,2,3-552-0,3-552-1,efficacy,3,0,0,,,,,,,,,,,,,
1215,2,3-618-0,3-618-1,efficacy,3,0,0,,,,,,,,,,,,,
1216,2,1-709-0,1-709-1,control,1,0,0,,,,,,,,,,,,,
1217,2,1-643-0,1-643-1,control,1,0,0,,,,,,,,,,,,,
1218,2,1-557-0,1-557-1,control,1,0,0,,1218,5,7,3,2,4,7,4,2,5,4,2
1219,2,1-664-0,1-664-1,control,1,0,0,,,,,,,,,,,,,
1220,2,3-674-0,3-674-1,efficacy,3,0,0,,,,,,,,,,,,,
1221,2,1-599-0,1-599-1,control,1,0,0,,,,,,,,,,,,,
1222,2,3-606-0,3-606-1,efficacy,3,0,0,,1222,5,6,4,3,4,4,5,5,5,2,4
1223,2,1-565-0,1-565-1,control,1,0,0,,,,,,,,,,,,,
1224,2,2-492-0,2-492-1,norm,2,0,0,,,,,,,,,,,,,
1225,2,3-514-0,3-514-1,efficacy,3,0,0,,,,,,,,,,,,,
1226,2,2-705-0,2-705-1,norm,2,0,0,,1226,2,6,4,4,5,7,2,5,6,2,4
1227,2,4-485-0,4-485-1,combined,4,0,0,,,,,,,,,,,,,
1228,2,1-688-0,1-688-1,control,1,1,1,,,,,,,,,,,,,
1229,2,4-520-0,4-520-1,combined,4,0,0,,,,,,,,,,,,,
1230,2,3-480-0,3-480-1,efficacy,3,0,0,,,,,,,,,,,,,
1231,2,1-510-0,1-510-1,control,1,0,0,,1231,7,5,4,2,5,2,6,5,4,4,4
1232,2,2-623-0,2-623-1,norm,2,0,0,,,,,,,,,,,,,
1233,2,1-480-0,1-480-1,control,1,0,0,,,,,,,,,,,,,
1234,2,2-568-0,2-568-1,norm,2,0,0,,,,,,,,,,,,,
1235,2,2-619-0,2-619-1,norm,2,0,0,,,,,,,,,,,,,
1236,2,1-496-0,1-496-1,control,1,0,0,,,,,,,,,,,,,
1237,2,3-694-0,3-694-1,efficacy,3,0,0,,,,,,,,,,,,,
1238,2,3-592-0,3-592-1,efficacy,3,0,0,,,,,,,,,,,,,
1239,2,2-560-0,2-560-1,norm,2,0,0,,1239,4,7,4,4,5,5,5,5,6,2,4
1240,2,4-695-0,4-695-1,combined,4,0,0,,,,,,,,,,,,,
1241,2,1-590-0,1-590-1,control,1,0,0,,,,,,,,,,,,,
1242,2,1-641-0,1-641-1,control,1,0,0,,,,,,,,,,,,,
1243,2,1-646-0,1-646-1,control,1,0,0,,,,,,,,,,,,,
1244,2,2-495-0,2-495-1,norm,2,0,0,,,,,,,,,,,,,
1245,2,4-546-0,4-546-1,combined,4,0,0,,,,,,,,,,,,,
1246,2,1-481-0,1-481-1,control,1,0,0,,,,,,,,,,,,,
1247,2,1-699-0,1-699-1,control,1,0,0,,1247,5,7,5,1,4,4,4,5,6,3,3
1248,2,2-696-0,2-696-1,norm,2,0,0,,,,,,,,,,,,,
1249,2,1-666-0,1-666-1,control,1,0,0,,1249,7,7,3,4,4,4,4,4,4,4,4
1250,2,3-584-0,3-584-1,efficacy,3,0,0,,,,,,,,,,,,,
1251,2,4-709-0,4-709-1,combined,4,0,0,,1251,1,6,4,5,1,7,4,5,5,6,1
1252,2,3-583-0,3-583-1,efficacy,3,0,0,,,,,,,,,,,,,
1253,2,2-610-0,2-610-1,norm,2,0,0,,1253,6,7,3,4,4,3,5,5,6,4,4
1254,2,2-633-0,2-633-1,norm,2,0,0,,,,,,,,,,,,,
1255,2,4-651-0,4-651-1,combined,4,0,0,,,,,,,,,,,,,
1256,2,4-571-0,4-571-1,combined,4,0,0,,,,,,,,,,,,,
1257,2,2-529-0,2-529-1,norm,2,0,0,,,,,,,,,,,,,
1258,2,2-680-0,2-680-1,norm,2,0,0,,,,,,,,,,,,,
1259,2,2-640-0,2-640-1,norm,2,0,0,,,,,,,,,,,,,
1260,2,4-658-0,4-658-1,combined,4,1,1,,,,,,,,,,,,,
1261,2,3-700-0,3-700-1,efficacy,3,0,0,,,,,,,,,,,,,
1262,2,4-641-0,4-641-1,combined,4,0,0,,,,,,,,,,,,,
1263,2,2-544-0,2-544-1,norm,2,0,0,,,,,,,,,,,,,
1264,2,3-526-0,3-526-1,efficacy,3,1,2,,,,,,,,,,,,,
1265,2,1-727-0,1-727-1,control,1,0,0,,1265,6,5,4,6,4,5,2,2,4,5,3
1266,2,3-498-0,3-498-1,efficacy,3,0,0,,,,,,,,,,,,,
1267,2,1-608-0,1-608-1,control,1,0,0,,,,,,,,,,,,,
1268,2,2-606-0,2-606-1,norm,2,0,0,,,,,,,,,,,,,
1269,2,3-678-0,3-678-1,efficacy,3,0,0,,,,,,,,,,,,,
1270,2,2-689-0,2-689-1,norm,2,0,0,,1270,6,6,5,2,4,3,4,6,6,4,4
1271,2,4-659-0,4-659-1,combined,4,0,0,,,,,,,,,,,,,
1272,2,4-550-0,4-550-1,combined,4,0,0,,,,,,,,,,,,,
1273,2,1-637-0,1-637-1,control,1,0,0,,1273,5,7,6,5,5,4,4,5,7,3,3
1274,2,2-636-0,2-636-1,norm,2,0,0,,,,,,,,,,,,,
1275,2,3-568-0,3-568-1,efficacy,3,0,0,,1275,5,6,3,6,3,4,5,4,4,4,2
1276,2,1-657-0,1-657-1,control,1,0,0,,,,,,,,,,,,,
1277,2,4-691-0,4-691-1,combined,4,0,0,,,,,,,,,,,,,
1278,2,1-713-0,1-713-1,control,1,0,0,,,,,,,,,,,,,
1279,2,1-521-0,1-521-1,control,1,0,0,,1279,3,6,4,2,4,5,4,5,5,2,3
1280,2,4-568-0,4-568-1,combined,4,0,0,,,,,,,,,,,,,
1281,2,1-573-0,1-573-1,control,1,0,0,,,,,,,,,,,,,
1282,2,1-545-0,1-545-1,control,1,0,0,,,,,,,,,,,,,
1283,2,3-585-0,3-585-1,efficacy,3,0,0,,,,,,,,,,,,,
1284,2,2-595-0,2-595-1,norm,2,0,0,,,,,,,,,,,,,
1285,2,3-484-0,3-484-1,efficacy,3,0,0,,,,,,,,,,,,,
1286,2,2-505-0,2-505-1,norm,2,0,0,,,,,,,,,,,,,
1287,2,2-677-0,2-677-1,norm,2,0,0,,,,,,,,,,,,,
1288,2,1-725-0,1-725-1,control,1,0,0,,,,,,,,,,,,,
1289,2,4-508-0,4-508-1,combined,4,0,0,,,,,,,,,,,,,
1290,2,4-505-0,4-505-1,combined,4,0,0,,,,,,,,,,,,,
1291,2,3-664-0,3-664-1,efficacy,3,0,0,,1291,1,6,4,3,5,6,5,5,6,3,3
1292,2,4-497-0,4-497-1,combined,4,0,0,,,,,,,,,,,,,
1293,2,4-690-0,4-690-1,combined,4,1,1,,,,,,,,,,,,,
1294,2,1-549-0,1-549-1,control,1,0,0,,,,,,,,,,,,,
1295,2,4-500-0,4-500-1,combined,4,0,0,,,,,,,,,,,,,
1296,2,1-520-0,1-520-1,control,1,0,0,,,,,,,,,,,,,
1297,2,1-714-0,1-714-1,control,1,0,0,,,,,,,,,,,,,
1298,2,2-553-0,2-553-1,norm,2,0,0,,,,,,,,,,,,,
1299,2,2-485-0,2-485-1,norm,2,0,0,,,,,,,,,,,,,
1300,2,4-724-0,4-724-1,combined,4,0,0,,,,,,,,,,,,,
1301,2,2-569-0,2-569-1,norm,2,1,1,,1301,7,7,6,5,5,2,6,6,5,3,5
1302,2,2-609-0,2-609-1,norm,2,0,0,,,,,,,,,,,,,
1303,2,1-517-0,1-517-1,control,1,0,0,,,,,,,,,,,,,
1304,2,3-499-0,3-499-1,efficacy,3,0,0,,,,,,,,,,,,,
1305,2,2-596-0,2-596-1,norm,2,0,0,,,,,,,,,,,,,
1306,2,2-488-0,2-488-1,norm,2,0,0,,1306,6,6,2,1,2,6,2,2,2,2,1
1307,2,2-663-0,2-663-1,norm,2,0,0,,,,,,,,,,,,,
1308,2,3-605-0,3-605-1,efficacy,3,0,0,,,,,,,,,,,,,
1309,2,1-544-0,1-544-1,control,1,0,0,,,,,,,,,,,,,
1310,2,3-680-0,3-680-1,efficacy,3,0,0,,,,,,,,,,,,,
1311,2,3-645-0,3-645-1,efficacy,3,0,0,,,,,,,,,,,,,
1312,2,1-494-0,1-494-1,control,1,0,0,,,,,,,,,,,,,
1313,2,2-523-0,2-523-1,norm,2,0,0,,,,,,,,,,,,,
1314,2,2-498-0,2-498-1,norm,2,0,0,,,,,,,,,,,,,
1315,2,3-675-0,3-675-1,efficacy,3,0,0,,1315,6,7,6,5,4,2,5,5,6,2,4
1316,2,2-555-0,2-555-1,norm,2,0,0,,,,,,,,,,,,,
1317,2,2-586-0,2-586-1,norm,2,0,0,,,,,,,,,,,,,
1318,2,3-549-0,3-549-1,efficacy,3,0,0,,,,,,,,,,,,,
1319,2,1-561-0,1-561-1,control,1,1,2,,1319,5,6,6,2,6,4,6,6,6,2,5
1320,2,2-501-0,2-501-1,norm,2,0,0,,,,,,,,,,,,,
1321,2,4-646-0,4-646-1,combined,4,0,0,,,,,,,,,,,,,
1322,2,4-721-0,4-721-1,combined,4,0,0,,,,,,,,,,,,,
1323,2,1-602-0,1-602-1,control,1,0,0,,,,,,,,,,,,,
1324,2,3-715-0,3-715-1,efficacy,3,0,0,,1324,5,6,4,4,4,4,4,4,4,4,3
1325,2,2-678-0,2-678-1,norm,2,0,0,,,,,,,,,,,,,
